timestamp,street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-01-01 00:00:00,Fuso de la Reina- Tuñón,43.4922292,-5.6604934,54,57,18,17,0.97,False
2025-01-01 00:00:00,Plaza de Olof Palme,39.472714,-0.3491376,99,99,10,10,0.83,False
2025-01-01 00:00:00,Camin del Peñón,43.458737,-5.7560442,90,94,11,10,0.81,False
2025-01-01 00:00:00,Caleya del Río,43.4564554,-5.6078278,57,61,17,16,0.97,False
2025-01-01 00:00:00,Cerro la Muralla,20.378618,-99.9582878,39,42,25,23,0.93,False
2025-01-01 00:00:00,Travesía de La Vega,43.5123634,-5.6084749,76,83,13,12,0.98,False
2025-01-01 00:00:00,Calle Fausto Vigíl,43.3904603,-5.6592901,47,49,21,20,0.94,False
2025-01-01 00:00:00,Carretera de Somonte a Tremañes,43.5270592,-5.6932296,88,91,11,10,0.95,False
2025-01-01 00:00:00,Calle las Escuelas,43.5602869,-5.7054797,54,56,18,17,0.87,False
2025-01-01 00:00:00,Calle Rey Pelayo,43.5600674,-5.9772031,76,77,13,12,1.0,False
2025-01-01 00:00:00,Camín de Riusecu,43.4850737,-5.6199934,51,52,19,19,0.83,False
2025-01-01 00:00:00,Calle Arquitecto Mariano Medarde,43.536792,-5.7035802,90,92,11,10,0.94,False
2025-01-01 00:00:00,Carretera de Niévares,38.5683683,-6.3507308,51,55,19,18,0.82,False
2025-01-01 00:00:00,Accesos de la Estación,43.5407689,-5.7221987,94,101,10,9,0.9,False
2025-01-01 00:00:00,Calle Joaquín Costa,41.9414066,-0.3661387,94,95,10,10,0.85,False
2025-01-01 00:00:00,Camín de la Pinganiella,43.4795803,-5.7446094,67,72,14,13,0.91,False
2025-01-01 00:00:00,Calle Altamirano,-29.1768499,-56.6423533,85,89,11,11,0.82,False
2025-01-01 00:00:00,Entrada aparcamiento subterráneo,43.6873129,-7.6201904,49,51,20,19,0.84,False
2025-01-01 00:00:00,Calle Fray Ceferino,43.533309,-5.6633512,94,103,10,9,0.87,False
2025-01-01 00:00:00,Camín de Casa Angelín,43.5009069,-5.595798,98,98,10,10,0.96,True
2025-01-01 00:00:00,Carretera Ceruyeda - La Cortina,43.4534773,-5.6210951,81,87,12,11,0.85,False
2025-01-01 00:00:00,Camín de Les Maravilles a Pumarin,43.5277007,-5.6876076,42,49,23,20,0.86,False
2025-01-01 00:00:00,Plaza Luis Ruiz de la Peña,43.3708081,-5.8376241,69,75,14,13,0.98,False
2025-01-01 00:00:00,Calle de las Ciudades Unidas,43.3873521,-5.8201078,97,100,10,10,0.93,False
2025-01-01 00:00:00,O-11 Acceso Este de Oviedo,43.5000337,-5.7048678,44,47,22,21,0.96,False
2025-01-01 00:00:00,Paseo de Poniente - Fomento,41.6022384,-4.7996952,91,92,10,10,0.99,False
2025-01-01 00:00:00,Calle Río Dobra,43.5186213,-5.6623149,53,54,18,18,0.84,False
2025-01-01 00:00:00,Calle Zalamaque,43.3934621,-5.6630065,95,98,10,10,0.97,False
2025-01-01 00:00:00,Aldea Campón,43.3506515,-5.8777196,62,65,16,15,0.98,False
2025-01-01 00:00:00,La Escandalera,43.3621646,-5.8476857,68,77,14,12,0.82,False
2025-01-01 00:00:00,Calle La Habana,43.5376507,-5.6838117,48,48,20,20,0.86,False
2025-01-01 00:00:00,Calle Don Rodrigo Muñiz Fernández,43.3854281,-5.7038591,71,75,14,13,0.9,False
2025-01-01 00:00:00,Carretera de Castiello,43.5217939,-5.6345673,83,90,12,11,0.9,False
2025-01-01 00:00:00,Plaza Nojosa,43.5380319,-5.6638426,52,52,19,19,0.81,False
2025-01-01 00:00:00,Calle Marco Polo,43.5082443,-5.6879641,92,92,10,10,0.92,False
2025-01-01 00:00:00,Calle de los Tulipanes,43.5321109,-5.6284552,35,37,28,27,0.97,False
2025-01-01 00:00:00,Viñao,43.5243661,-5.6412918,69,71,14,14,0.94,False
2025-01-01 00:00:00,Latores,39.2310247,-3.553517,66,67,15,14,0.91,False
2025-01-01 00:00:00,Carretera de Ruedes,43.462788,-5.70803,95,100,10,10,0.83,False
2025-01-01 00:00:00,Calle Hermanas Sánchez Tamargo,43.3731659,-5.8502921,39,39,25,25,0.99,False
2025-01-01 00:00:00,Camín del Peñeu,43.458737,-5.7560442,73,81,13,12,0.96,False
2025-01-01 00:00:00,Parque del Cerro,40.3988854,-3.6560083,36,36,27,27,0.84,False
2025-01-01 00:00:00,Camino de La Iglesia,43.5470352,-5.7005806,56,65,17,15,0.83,False
2025-01-01 00:00:00,Calle Sobrescobio,-37.8430992,-57.5036199,48,56,20,17,0.96,False
2025-01-01 00:00:00,Camín de Peña García,43.497024,-5.5992948,39,39,25,25,1.0,False
2025-01-01 00:00:00,Calle Manuel Meana Canal,43.5129198,-5.7260058,95,103,10,9,0.91,False
2025-01-01 00:00:00,Camín de La Perdiz,43.4962966,-5.6699617,83,90,12,11,0.98,False
